Statistic Label,Month,Main Reason for Travel,UNIT,VALUE
Number of Overnight Trips by Foreign Visitors,2024 May,Other reason for journey,%,10.4
Number of Overnight Trips by Foreign Visitors,2024 May,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 June,Business,%,16
Number of Overnight Trips by Foreign Visitors,2024 June,Holiday/leisure/recreation,%,45.8
Number of Overnight Trips by Foreign Visitors,2024 June,Visit to friends/relatives,%,28.5
Number of Overnight Trips by Foreign Visitors,2024 June,Other reason for journey,%,9.7
Number of Overnight Trips by Foreign Visitors,2024 June,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 July,Business,%,13.1
Number of Overnight Trips by Foreign Visitors,2024 July,Holiday/leisure/recreation,%,45.7
Number of Overnight Trips by Foreign Visitors,2024 July,Visit to friends/relatives,%,30.1
Number of Overnight Trips by Foreign Visitors,2024 July,Other reason for journey,%,11
Number of Overnight Trips by Foreign Visitors,2024 July,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 August,Business,%,9.9
Number of Overnight Trips by Foreign Visitors,2024 August,Holiday/leisure/recreation,%,48.8
Number of Overnight Trips by Foreign Visitors,2024 August,Visit to friends/relatives,%,32.3
Number of Overnight Trips by Foreign Visitors,2024 August,Other reason for journey,%,9
Number of Overnight Trips by Foreign Visitors,2024 August,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 September,Business,%,14.9
Number of Overnight Trips by Foreign Visitors,2024 September,Holiday/leisure/recreation,%,47.4
Number of Overnight Trips by Foreign Visitors,2024 September,Visit to friends/relatives,%,28.5
Number of Overnight Trips by Foreign Visitors,2024 September,Other reason for journey,%,9.2
Number of Overnight Trips by Foreign Visitors,2024 September,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 October,Business,%,16.9
Number of Overnight Trips by Foreign Visitors,2024 October,Holiday/leisure/recreation,%,44.2
Number of Overnight Trips by Foreign Visitors,2024 October,Visit to friends/relatives,%,29.9
Number of Overnight Trips by Foreign Visitors,2024 October,Other reason for journey,%,8.9
Number of Overnight Trips by Foreign Visitors,2024 October,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 November,Business,%,19
Number of Overnight Trips by Foreign Visitors,2024 November,Holiday/leisure/recreation,%,34.4
Number of Overnight Trips by Foreign Visitors,2024 November,Visit to friends/relatives,%,36.7
Number of Overnight Trips by Foreign Visitors,2024 November,Other reason for journey,%,9.9
Number of Overnight Trips by Foreign Visitors,2024 November,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 December,Business,%,14.2
Number of Overnight Trips by Foreign Visitors,2024 December,Holiday/leisure/recreation,%,27.6
Number of Overnight Trips by Foreign Visitors,2024 December,Visit to friends/relatives,%,47.2
Number of Overnight Trips by Foreign Visitors,2024 December,Other reason for journey,%,10.9
Number of Overnight Trips by Foreign Visitors,2024 December,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2025 January,Business,%,15.2
Number of Overnight Trips by Foreign Visitors,2025 January,Holiday/leisure/recreation,%,27.2
Number of Overnight Trips by Foreign Visitors,2025 January,Visit to friends/relatives,%,52.3
Number of Overnight Trips by Foreign Visitors,2025 January,Other reason for journey,%,5.3
Number of Overnight Trips by Foreign Visitors,2025 January,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 January,Business,Thousand,230.8
Number of Overnight Trips by Foreign Visitors,2023 January,Holiday/leisure/recreation,Thousand,604.5
Number of Overnight Trips by Foreign Visitors,2023 January,Visit to friends/relatives,Thousand,2289.7
