Statistic Label,Monthly,Residency,UNIT,VALUE
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,All Residencies,Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,"Great Britain (England, Scotland & Wales)",Euro,62.4
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,Other Europe (3),Euro,60.7
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,USA & Canada,Euro,75.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,Other Residencies,Euro,61.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,All Residencies,Euro,64.8
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,"Great Britain (England, Scotland & Wales)",Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,Other Europe (3),Euro,67
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,USA & Canada,Euro,88.5
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,Other Residencies,Euro,72.7
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,All Residencies,Euro,73.3
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,"Great Britain (England, Scotland & Wales)",Euro,71.6
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,Other Europe (3),Euro,70.7
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,USA & Canada,Euro,87.6
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,Other Residencies,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,All Residencies,Euro,75.6
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,"Great Britain (England, Scotland & Wales)",Euro,79.4
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,Other Europe (3),Euro,74.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,USA & Canada,Euro,83.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,Other Residencies,Euro,71.8
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,All Residencies,Euro,77.8
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,"Great Britain (England, Scotland & Wales)",Euro,75
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,Other Europe (3),Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,USA & Canada,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,Other Residencies,Euro,59
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,All Residencies,Euro,76
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,"Great Britain (England, Scotland & Wales)",Euro,74
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,Other Europe (3),Euro,63
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,USA & Canada,Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,Other Residencies,Euro,65
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,All Residencies,Euro,70
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,"Great Britain (England, Scotland & Wales)",Euro,85
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,Other Europe (3),Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,USA & Canada,Euro,92
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,Other Residencies,Euro,70
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,All Residencies,Euro,83
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,"Great Britain (England, Scotland & Wales)",Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,Other Europe (3),Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,USA & Canada,Euro,101
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,Other Residencies,Euro,80
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,All Residencies,Euro,89
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,"Great Britain (England, Scotland & Wales)",Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,Other Europe (3),Euro,74
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,USA & Canada,Euro,89
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,Other Residencies,Euro,68
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,All Residencies,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,"Great Britain (England, Scotland & Wales)",Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,Other Europe (3),Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,USA & Canada,Euro,95
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,Other Residencies,Euro,75
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,All Residencies,Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,"Great Britain (England, Scotland & Wales)",Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,Other Europe (3),Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,USA & Canada,Euro,105
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,Other Residencies,Euro,83
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,All Residencies,Euro,89
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,"Great Britain (England, Scotland & Wales)",Euro,91
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,Other Europe (3),Euro,68
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,USA & Canada,Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,Other Residencies,Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,All Residencies,Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,"Great Britain (England, Scotland & Wales)",Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,Other Europe (3),Euro,73
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,USA & Canada,Euro,97
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,Other Residencies,Euro,68
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,All Residencies,Euro,80
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,"Great Britain (England, Scotland & Wales)",Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,Other Europe (3),Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,USA & Canada,Euro,101
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,Other Residencies,Euro,70
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,All Residencies,Euro,87
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,"Great Britain (England, Scotland & Wales)",Euro,85
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,Other Europe (3),Euro,80
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,USA & Canada,Euro,99
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,Other Residencies,Euro,72
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,All Residencies,Euro,86
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,"Great Britain (England, Scotland & Wales)",Euro,85
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,Other Europe (3),Euro,82
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,USA & Canada,Euro,96
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,Other Residencies,Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,All Residencies,Euro,85
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,"Great Britain (England, Scotland & Wales)",Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,Other Europe (3),Euro,71
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,USA & Canada,Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,Other Residencies,Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,All Residencies,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,"Great Britain (England, Scotland & Wales)",Euro,71
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,Other Europe (3),Euro,66
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,USA & Canada,Euro,68
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,Other Residencies,Euro,59
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,All Residencies,Euro,68
