"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"3","Business","20162","2016Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.3"
"3","Business","20162","2016Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","184"
"3","Business","20163","2016Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","363"
"3","Business","20163","2016Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"3","Business","20163","2016Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"3","Business","20163","2016Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","157"
"3","Business","20163","2016Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5"
"3","Business","20163","2016Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","128"
"3","Business","20164","2016Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","378"
"3","Business","20164","2016Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"3","Business","20164","2016Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","191"
"3","Business","20164","2016Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","236"
"3","Business","20164","2016Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.1"
"3","Business","20164","2016Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","169"
"3","Business","20171","2017Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","351"
"3","Business","20171","2017Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"3","Business","20171","2017Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"3","Business","20171","2017Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","236"
"3","Business","20171","2017Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3"
"3","Business","20171","2017Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","152"
"3","Business","20172","2017Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","413"
"3","Business","20172","2017Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"3","Business","20172","2017Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","213"
"3","Business","20172","2017Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","240"
"3","Business","20172","2017Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","2.9"
"3","Business","20172","2017Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","164"
"3","Business","20173","2017Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","360"
"3","Business","20173","2017Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"3","Business","20173","2017Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","199"
"3","Business","20173","2017Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","177"
"3","Business","20173","2017Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.5"
"3","Business","20173","2017Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","133"
"3","Business","20174","2017Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","354"
"3","Business","20174","2017Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"3","Business","20174","2017Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","204"
"3","Business","20174","2017Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","227"
"3","Business","20174","2017Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.7"
"3","Business","20174","2017Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","169"
"3","Business","20181","2018Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","351"
"3","Business","20181","2018Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"3","Business","20181","2018Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","169"
"3","Business","20181","2018Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","231"
"3","Business","20181","2018Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.3"
"3","Business","20181","2018Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","164"
"3","Business","20182","2018Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","360"
"3","Business","20182","2018Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"3","Business","20182","2018Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","189"
"3","Business","20182","2018Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","212"
"3","Business","20182","2018Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.6"
"3","Business","20182","2018Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","172"
"3","Business","20183","2018Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","333"
"3","Business","20183","2018Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"3","Business","20183","2018Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","202"
"3","Business","20183","2018Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","214"
"3","Business","20183","2018Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.7"
"3","Business","20183","2018Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","170"
"3","Business","20184","2018Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","389"
"3","Business","20184","2018Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"3","Business","20184","2018Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","184"
"3","Business","20184","2018Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","244"
"3","Business","20184","2018Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.5"
"3","Business","20184","2018Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","203"
"3","Business","20191","2019Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","390"
"3","Business","20191","2019Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"3","Business","20191","2019Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","167"
"3","Business","20191","2019Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","252"
"3","Business","20191","2019Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.5"
"3","Business","20191","2019Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","190"
"3","Business","20192","2019Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","365"
"3","Business","20192","2019Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"3","Business","20192","2019Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","180"
"3","Business","20192","2019Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","244"
"3","Business","20192","2019Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","2.9"
"3","Business","20192","2019Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","226"
"3","Business","20193","2019Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","350"
"3","Business","20193","2019Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"3","Business","20193","2019Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"3","Business","20193","2019Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","248"
"3","Business","20193","2019Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.8"
"3","Business","20193","2019Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","209"
"3","Business","20194","2019Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","379"
"3","Business","20194","2019Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"3","Business","20194","2019Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","176"
"3","Business","20194","2019Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","216"
"3","Business","20194","2019Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.2"
"3","Business","20194","2019Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","154"
"4","Other reason for journey","20121","2012Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","109"
"4","Other reason for journey","20121","2012Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.7"
"4","Other reason for journey","20121","2012Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"4","Other reason for journey","20121","2012Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","13"
"4","Other reason for journey","20121","2012Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","16.2"
"4","Other reason for journey","20121","2012Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","9"
"4","Other reason for journey","20122","2012Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","188"
"4","Other reason for journey","20122","2012Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"4","Other reason for journey","20122","2012Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","77"
"4","Other reason for journey","20122","2012Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","30"
"4","Other reason for journey","20122","2012Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","18.9"
"4","Other reason for journey","20122","2012Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","46"
"4","Other reason for journey","20123","2012Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","226"
"4","Other reason for journey","20123","2012Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.2"
"4","Other reason for journey","20123","2012Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","98"
"4","Other reason for journey","20123","2012Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","47"
"4","Other reason for journey","20123","2012Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.1"
"4","Other reason for journey","20123","2012Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","48"
"4","Other reason for journey","20124","2012Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","162"
"4","Other reason for journey","20124","2012Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.1"
"4","Other reason for journey","20124","2012Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"4","Other reason for journey","20124","2012Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","34"
"4","Other reason for journey","20124","2012Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.9"
"4","Other reason for journey","20124","2012Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","27"
"4","Other reason for journey","20131","2013Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","93"
"4","Other reason for journey","20131","2013Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.5"
"4","Other reason for journey","20131","2013Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"4","Other reason for journey","20131","2013Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","15"
"4","Other reason for journey","20131","2013Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","15.3"
"4","Other reason for journey","20131","2013Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","8"
"4","Other reason for journey","20132","2013Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","224"
"4","Other reason for journey","20132","2013Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.1"
"4","Other reason for journey","20132","2013Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","110"
"4","Other reason for journey","20132","2013Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","17"
"4","Other reason for journey","20132","2013Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","16.1"
"4","Other reason for journey","20132","2013Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","16"
"4","Other reason for journey","20133","2013Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","218"
"4","Other reason for journey","20133","2013Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.3"
"4","Other reason for journey","20133","2013Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","102"
"4","Other reason for journey","20133","2013Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","19"
"4","Other reason for journey","20133","2013Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.7"
"4","Other reason for journey","20133","2013Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","18"
"4","Other reason for journey","20134","2013Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","134"
"4","Other reason for journey","20134","2013Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.7"
"4","Other reason for journey","20134","2013Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","63"
"4","Other reason for journey","20134","2013Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","22"
"4","Other reason for journey","20134","2013Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","13.4"
"4","Other reason for journey","20134","2013Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","20"
"4","Other reason for journey","20141","2014Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","115"
"4","Other reason for journey","20141","2014Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.4"
"4","Other reason for journey","20141","2014Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","50"
"4","Other reason for journey","20141","2014Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","17"
"4","Other reason for journey","20141","2014Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.2"
"4","Other reason for journey","20141","2014Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","9"
"4","Other reason for journey","20142","2014Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","231"
"4","Other reason for journey","20142","2014Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"4","Other reason for journey","20142","2014Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","125"
"4","Other reason for journey","20142","2014Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","36"
"4","Other reason for journey","20142","2014Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","15.1"
"4","Other reason for journey","20142","2014Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","29"
"4","Other reason for journey","20143","2014Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","256"
"4","Other reason for journey","20143","2014Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"4","Other reason for journey","20143","2014Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","105"
"4","Other reason for journey","20143","2014Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","35"
"4","Other reason for journey","20143","2014Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.3"
"4","Other reason for journey","20143","2014Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","25"
"4","Other reason for journey","20144","2014Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","186"
"4","Other reason for journey","20144","2014Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.4"
"4","Other reason for journey","20144","2014Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"4","Other reason for journey","20144","2014Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","68"
"4","Other reason for journey","20144","2014Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.5"
"4","Other reason for journey","20144","2014Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","50"
"4","Other reason for journey","20151","2015Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","141"
"4","Other reason for journey","20151","2015Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.9"
"4","Other reason for journey","20151","2015Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","69"
"4","Other reason for journey","20151","2015Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","27"
"4","Other reason for journey","20151","2015Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","12.3"
"4","Other reason for journey","20151","2015Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","21"
"4","Other reason for journey","20152","2015Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","229"
"4","Other reason for journey","20152","2015Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.4"
"4","Other reason for journey","20152","2015Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","106"
"4","Other reason for journey","20152","2015Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","49"
"4","Other reason for journey","20152","2015Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.6"
"4","Other reason for journey","20152","2015Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","34"
"4","Other reason for journey","20153","2015Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","315"
"4","Other reason for journey","20153","2015Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"4","Other reason for journey","20153","2015Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","129"
"4","Other reason for journey","20153","2015Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","50"
"4","Other reason for journey","20153","2015Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.6"
"4","Other reason for journey","20153","2015Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","38"
"4","Other reason for journey","20154","2015Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","220"
"4","Other reason for journey","20154","2015Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"4","Other reason for journey","20154","2015Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","96"
"4","Other reason for journey","20154","2015Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","56"
"4","Other reason for journey","20154","2015Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.3"
"4","Other reason for journey","20154","2015Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","43"
"4","Other reason for journey","20161","2016Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","175"
"4","Other reason for journey","20161","2016Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.2"
"4","Other reason for journey","20161","2016Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"4","Other reason for journey","20161","2016Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","23"
"4","Other reason for journey","20161","2016Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"4","Other reason for journey","20161","2016Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","13"
"4","Other reason for journey","20162","2016Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","276"
"4","Other reason for journey","20162","2016Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.6"
"4","Other reason for journey","20162","2016Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","127"
"4","Other reason for journey","20162","2016Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","71"
"4","Other reason for journey","20162","2016Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.9"
"4","Other reason for journey","20162","2016Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","51"
"4","Other reason for journey","20163","2016Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","394"
"4","Other reason for journey","20163","2016Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"4","Other reason for journey","20163","2016Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","163"
"4","Other reason for journey","20163","2016Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","77"
"4","Other reason for journey","20163","2016Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.8"
"4","Other reason for journey","20163","2016Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","71"
"4","Other reason for journey","20164","2016Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","259"
"4","Other reason for journey","20164","2016Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"4","Other reason for journey","20164","2016Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"4","Other reason for journey","20164","2016Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","102"
"4","Other reason for journey","20164","2016Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.2"
"4","Other reason for journey","20164","2016Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","64"
"4","Other reason for journey","20171","2017Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","206"
"4","Other reason for journey","20171","2017Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"4","Other reason for journey","20171","2017Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","65"
"4","Other reason for journey","20171","2017Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","37"
"4","Other reason for journey","20171","2017Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.6"
"4","Other reason for journey","20171","2017Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","22"
"4","Other reason for journey","20172","2017Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","305"
"4","Other reason for journey","20172","2017Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"4","Other reason for journey","20172","2017Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","116"
"4","Other reason for journey","20172","2017Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","46"
"4","Other reason for journey","20172","2017Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"4","Other reason for journey","20172","2017Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","28"
"4","Other reason for journey","20173","2017Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","384"
"4","Other reason for journey","20173","2017Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"4","Other reason for journey","20173","2017Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"4","Other reason for journey","20173","2017Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","56"
"4","Other reason for journey","20173","2017Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"4","Other reason for journey","20173","2017Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","46"
"4","Other reason for journey","20174","2017Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","282"
"4","Other reason for journey","20174","2017Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.8"
"4","Other reason for journey","20174","2017Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"4","Other reason for journey","20174","2017Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","73"
"4","Other reason for journey","20174","2017Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"4","Other reason for journey","20174","2017Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","60"
"4","Other reason for journey","20181","2018Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","244"
"4","Other reason for journey","20181","2018Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.5"
"4","Other reason for journey","20181","2018Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"4","Other reason for journey","20181","2018Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","37"
"4","Other reason for journey","20181","2018Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.9"
"4","Other reason for journey","20181","2018Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","23"
"4","Other reason for journey","20182","2018Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","317"
"4","Other reason for journey","20182","2018Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"4","Other reason for journey","20182","2018Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","121"
"4","Other reason for journey","20182","2018Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","48"
"4","Other reason for journey","20182","2018Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.9"
"4","Other reason for journey","20182","2018Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","44"
"4","Other reason for journey","20183","2018Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","430"
