"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All reasons for journey","20172","2017Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All reasons for journey","20172","2017Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1408"
"-","All reasons for journey","20172","2017Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2119"
"-","All reasons for journey","20172","2017Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"-","All reasons for journey","20172","2017Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1664"
"-","All reasons for journey","20173","2017Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","3096"
"-","All reasons for journey","20173","2017Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"-","All reasons for journey","20173","2017Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1736"
"-","All reasons for journey","20173","2017Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2495"
"-","All reasons for journey","20173","2017Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9"
"-","All reasons for journey","20173","2017Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2362"
"-","All reasons for journey","20174","2017Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2271"
"-","All reasons for journey","20174","2017Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"-","All reasons for journey","20174","2017Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1046"
"-","All reasons for journey","20174","2017Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1756"
"-","All reasons for journey","20174","2017Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"-","All reasons for journey","20174","2017Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1394"
"-","All reasons for journey","20181","2018Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1921"
"-","All reasons for journey","20181","2018Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All reasons for journey","20181","2018Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","795"
"-","All reasons for journey","20181","2018Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1599"
"-","All reasons for journey","20181","2018Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"-","All reasons for journey","20181","2018Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1299"
"-","All reasons for journey","20182","2018Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2952"
"-","All reasons for journey","20182","2018Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"-","All reasons for journey","20182","2018Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1475"
"-","All reasons for journey","20182","2018Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2248"
"-","All reasons for journey","20182","2018Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.7"
"-","All reasons for journey","20182","2018Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1831"
"-","All reasons for journey","20183","2018Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","3331"
"-","All reasons for journey","20183","2018Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All reasons for journey","20183","2018Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1832"
"-","All reasons for journey","20183","2018Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2571"
"-","All reasons for journey","20183","2018Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.9"
"-","All reasons for journey","20183","2018Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2415"
"-","All reasons for journey","20184","2018Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2413"
"-","All reasons for journey","20184","2018Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"-","All reasons for journey","20184","2018Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1047"
"-","All reasons for journey","20184","2018Q4","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1858"
"-","All reasons for journey","20184","2018Q4","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6"
"-","All reasons for journey","20184","2018Q4","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1517"
"-","All reasons for journey","20191","2019Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2027"
"-","All reasons for journey","20191","2019Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"-","All reasons for journey","20191","2019Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","763"
"-","All reasons for journey","20191","2019Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1727"
"-","All reasons for journey","20191","2019Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.4"
"-","All reasons for journey","20191","2019Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1492"
"-","All reasons for journey","20192","2019Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","3022"
"-","All reasons for journey","20192","2019Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All reasons for journey","20192","2019Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1513"
"-","All reasons for journey","20192","2019Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2404"
"-","All reasons for journey","20192","2019Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"-","All reasons for journey","20192","2019Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2085"
"-","All reasons for journey","20193","2019Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","3334"
"-","All reasons for journey","20193","2019Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"-","All reasons for journey","20193","2019Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1824"
"-","All reasons for journey","20193","2019Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2774"
"-","All reasons for journey","20193","2019Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"-","All reasons for journey","20193","2019Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","2720"
"-","All reasons for journey","20194","2019Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2425"
